Organism,Limb.width,Limb.length,Observer
Drosophila melanogaster,1.449318851,0.098843611,Oliver R
Homo sapiens,0.647430914,1.471977378,Albert F
Ambystoma mexicanum,0.122339887,1.882216102,Kim A
Bombina bombina,1.964439432,1.408210897,Aaron S
Anolis carolinensis,1.080623058,1.485150407,Juno B
Nicotiana benthamiana,0.378181115,1.014198736,Gaby S
Mus musculus,0.124679051,1.493857867,Oliver R
Oryzias latipes,1.277211995,0.467737563,Albert F
Drosophila melanogaster,1.150855265,0.656368364,Kim A
Homo sapiens,1.729427643,0.132665219,Aaron S
Ambystoma mexicanum,1.344489778,0.813544957,Juno B
Bombina bombina,0.974206354,1.228716075,Gaby S
Anolis carolinensis,1.687803918,1.208239055,Oliver R
Nicotiana benthamiana,1.899993491,0.926067605,Albert F
Mus musculus,0.714648287,0.664957595,Kim A
Oryzias latipes,0.025301421,7.629920516,Aaron S
Drosophila melanogaster,8.574626636,1.180183991,Juno B
Homo sapiens,5.366669194,2.556308398,Gaby S
Ambystoma mexicanum,5.330303945,3.230744518,Oliver R
Bombina bombina,7.433419843,7.087333181,Albert F
Anolis carolinensis,1.601826012,4.062849108,Kim A
Nicotiana benthamiana,2.412460381,1.670709692,Aaron S
Mus musculus,9.795034169,9.912620219,Juno B
Oryzias latipes,2.397560179,2.14062308,Gaby S
Drosophila melanogaster,9.054392063,5.758411022,Oliver R
Homo sapiens,9.768740421,8.054671081,Albert F
Ambystoma mexicanum,5.749849415,0.178343966,Kim A
Bombina bombina,7.94555435,6.641650404,Aaron S
Anolis carolinensis,0.88334976,4.10733253,Juno B
Nicotiana benthamiana,1.103890327,0.643333887,Gaby S
Mus musculus,5.910669717,5.4427254,Oliver R
Oryzias latipes,4.231100621,2.519225105,Albert F
Drosophila melanogaster,4.019780095,9.252956214,Kim A
Homo sapiens,1.398665063,2.345123195,Aaron S
Ambystoma mexicanum,0.41635612,0.93102622,Juno B